"","pearson","Pvalue"
"Vorinostat",-0.430346866208839,0.00059908935848083
"Eribulin mesilate",-0.331855410687122,0.00958852198825339
"PX-316",-0.323958733359312,0.0115670058399878
"Artesunate",-0.365177903797143,0.00411832441536635
"Imexon",-0.425573927545866,0.000699288764508111
"Gefitinib",0.329201589620063,0.0102178464009187
"Erlotinib",0.470049490428303,0.000151017065280665
"Fulvestrant",-0.307395546028154,0.0168874840587885
"Dasatinib",0.590919514026544,6.67534979630455e-07
"Everolimus",0.377433692145823,0.00295007575922729
"DMAPT",-0.365914677967414,0.00403799038969896
"Selumetinib",-0.324331837921879,0.011466149034972
"Nilotinib",-0.457697059920682,0.000236098571324187
"Ixabepilone",-0.442289059610171,0.000402787279388188
"Raloxifene",-0.439973136221538,0.000435518622593405
"AT-13387",-0.355037225991461,0.00537649239366981
"Afatinib",0.356296143352548,0.00520384093503364
"Astex FGF inhibitor",-0.324449620912264,0.0114344684379275
"SB-590885",-0.452815885754645,0.000280397294642821
"XAV-939",0.491106361118015,6.77150313099404e-05
"Hydrastinine HCl",-0.381614474670268,0.00262504449760359
"Crizotinib",-0.446633941338108,0.000347348090734697
"ZM-336372",-0.375351318968046,0.00312493265492336
"DAUNORUBICIN",-0.302050550087853,0.0190000327171556
"ETHINYL ESTRADIOL",-0.335520164119121,0.00877492414393246
"Volasertib",-0.426863286149129,0.000670825141615296
"TYROTHRICIN",-0.382779248021895,0.00254036130202954
"Deforolimius",0.33589550728764,0.00869509002325547
"Barasertib",-0.486794812179841,8.01435587890906e-05
"Sapitinib",0.519759232248171,2.08233394064717e-05
"Indibulin",-0.454887982744514,0.00026074018106767
"Saracatinib",0.447474257041095,0.000337464304640223
"Fluvastatin",0.319807566411647,0.0127418692115035
"JNJ-38877605",0.429520651543101,0.000615443939656058
"Pipamperone",-0.53958757815388,8.63224174575799e-06
"4SC-202",-0.328270117469101,0.010447068493706
"VINORELBINE",-0.360108015595209,0.00471044746754156
"Mocetinostat",-0.409056609122706,0.00117395902674102
"Tipifarnib",-0.378826797746817,0.00283800400056109
"BMS-690514",0.555274736519093,4.12983661987483e-06
"Vandetanib",0.338842441306537,0.00808995006166172
"AMG-900",-0.499401708169081,4.8651488293637e-05
"CUDC-305",-0.408915310382648,0.00117904115595978
"Vemurafenib",-0.388863138122303,0.00213635117860713
"MK-8033",-0.378054450965881,0.00289966057501243
"TAK-960 analog",-0.393375030863682,0.00187485770194335
"Ibrutinib",0.429941858159259,0.000607056463073004
"TAK-901",-0.307137202166538,0.0169847656687789
"ONX-0914",-0.361673057991501,0.00452012725919013
"CH-5132799",0.334816136411952,0.00892638942816968
"TAK Plk inhibitor",-0.438744459483442,0.000453848375335658
"EMD-534085",-0.448548519888323,0.00032520206528414
"AS-703569",0.344489447280784,0.00703224396327319
"BP-1-102",-0.461105434384265,0.000209063771631681
"Dabrafenib",-0.3311247582518,0.00975833798074468
"BMS-599626",0.451450226532568,0.00029408206080916
"Abexinostat",-0.300660348006956,0.0195849998967547
"NA",NA,NA
